Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference
2024-03-17;Saalbach;1;57;0.833;HAUGAN Timon;0.9;MEILLARD Loic;-0.06700000000000006;-8.043217286914773
2024-03-17;Saalbach;2;57;0.766;GINNIS AJ;0.733;AERNI Luca;0.03300000000000003;4.308093994778071
2024-03-17;Saalbach;1;58;0.733;HAUGAN Timon;0.8;MEILLARD Loic;-0.06700000000000006;-9.140518417462491
2024-03-17;Saalbach;2;58;1.2;GINNIS AJ;1.133;AERNI Luca;0.06699999999999995;5.583333333333329
2024-03-17;Saalbach;1;59;0.833;HAUGAN Timon;0.833;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;59;;GINNIS AJ;;AERNI Luca;;
2024-03-17;Saalbach;1;60;0.8;HAUGAN Timon;0.8;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;60;;GINNIS AJ;;AERNI Luca;;
2024-03-17;Saalbach;1;61;0.733;HAUGAN Timon;0.666;MEILLARD Loic;0.06699999999999995;9.140518417462475
2024-03-17;Saalbach;2;61;;GINNIS AJ;;AERNI Luca;;
2024-03-17;Saalbach;1;62;0.433;HAUGAN Timon;0.4;MEILLARD Loic;0.032999999999999974;7.6212471131639665
2024-03-17;Saalbach;2;62;;GINNIS AJ;;AERNI Luca;;
2024-03-17;Saalbach;1;63;0.666;HAUGAN Timon;0.666;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;63;;GINNIS AJ;;AERNI Luca;;
2024-03-17;Saalbach;1;64;0.666;HAUGAN Timon;0.666;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;64;;GINNIS AJ;;AERNI Luca;;
2024-03-17;Saalbach;1;65;0.666;HAUGAN Timon;0.6;MEILLARD Loic;0.06600000000000006;9.909909909909919
2024-03-17;Saalbach;2;65;;GINNIS AJ;;AERNI Luca;;
2024-03-17;Saalbach;1;66;0.633;HAUGAN Timon;0.633;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;66;;GINNIS AJ;;AERNI Luca;;
2024-03-17;Saalbach;1;67;0.766;HAUGAN Timon;0.666;MEILLARD Loic;0.09999999999999998;13.054830287206261
2024-03-17;Saalbach;2;67;;GINNIS AJ;;AERNI Luca;;
2024-03-17;Saalbach;1;68;0.733;HAUGAN Timon;0.7;MEILLARD Loic;0.03300000000000003;4.502046384720332
2024-03-17;Saalbach;2;68;;GINNIS AJ;;AERNI Luca;;
2024-01-24;Schladming;1;1;0.866;STRASSER Linus;0.9;YULE Daniel;-0.03400000000000003;-3.926096997690535
2024-01-24;Schladming;2;1;0.866;GSTREIN Fabio;0.9;ROCHAT Marc;-0.03400000000000003;-3.926096997690535
2024-01-24;Schladming;1;2;0.833;STRASSER Linus;0.766;YULE Daniel;0.06699999999999995;8.043217286914759
